userId,blog_id,prediction,topic,timestamp
10,1695,5.306266,nlp,2023-05-08 06:15:34
10,207,5.41437,cloud-services,2023-05-08 06:15:34
10,4411,5.1229963,blockchain,2023-05-08 06:15:34
10,7304,4.9273386,cloud-computing,2023-05-08 06:15:34
10,2436,4.7216897,cloud-computing,2023-05-08 06:15:34
10,2252,4.9314013,image-processing,2023-05-08 06:15:34
10,3665,5.011597,cybersecurity,2023-05-08 06:15:34
10,3255,4.7992077,ai,2023-05-08 06:15:34
10,3241,4.7667737,ai,2023-05-08 06:15:34
10,3110,4.8547506,ai,2023-05-08 06:15:34
11,457,5.4265842,cybersecurity,2023-05-08 06:15:34
11,54,5.4589734,data-science,2023-05-08 06:15:34
11,9246,5.126447,web-development,2023-05-08 06:15:34
11,4935,4.89619,web3,2023-05-08 06:15:34
11,4791,4.753797,web3,2023-05-08 06:15:34
11,4431,4.792508,blockchain,2023-05-08 06:15:34
11,6448,4.7416844,data-science,2023-05-08 06:15:34
11,2252,5.0733657,image-processing,2023-05-08 06:15:34
11,1744,4.788989,data-science,2023-05-08 06:15:34
11,2439,4.832656,cloud-computing,2023-05-08 06:15:34
12,8749,5.281257,flutter,2023-05-08 06:15:34
12,8864,5.0598536,flutter,2023-05-08 06:15:34
12,8803,5.2722864,flutter,2023-05-08 06:15:34
12,1404,5.263473,ai,2023-05-08 06:15:34
12,8995,5.198815,flutter,2023-05-08 06:15:34
12,8827,5.088604,flutter,2023-05-08 06:15:34
12,129,5.079448,cloud-computing,2023-05-08 06:15:34
12,3688,4.993475,cybersecurity,2023-05-08 06:15:34
12,471,4.9235406,cybersecurity,2023-05-08 06:15:34
12,2408,4.985098,cloud-computing,2023-05-08 06:15:34
13,127,5.372626,cloud-computing,2023-05-08 06:15:34
13,6305,5.44174,nlp,2023-05-08 06:15:34
13,6247,5.3809814,nlp,2023-05-08 06:15:34
13,6262,5.4498634,nlp,2023-05-08 06:15:34
13,6243,5.1049585,nlp,2023-05-08 06:15:34
13,6203,5.2844954,nlp,2023-05-08 06:15:34
13,2308,5.0462303,cloud-computing,2023-05-08 06:15:34
13,3252,4.830566,ai,2023-05-08 06:15:34
13,5188,4.9401436,security,2023-05-08 06:15:34
13,2453,5.1328382,cloud-computing,2023-05-08 06:15:34
14,110,5.15875,cloud-computing,2023-05-08 06:15:34
14,8529,5.278817,app-development,2023-05-08 06:15:34
14,8514,5.006114,app-development,2023-05-08 06:15:34
14,6514,4.9077263,data-science,2023-05-08 06:15:34
14,4411,5.209312,blockchain,2023-05-08 06:15:34
14,2541,5.107483,cloud-services,2023-05-08 06:15:34
14,7304,4.941104,cloud-computing,2023-05-08 06:15:34
14,1339,4.9471416,ai,2023-05-08 06:15:34
